name,grade,gender,math,reading,behavior,independence,iep,504,esl,gate,friends,incompatible
Stella Wood,3rd,F,l,h,cooperative,low,y,n,n,n,,
Ellie Ward,3rd,F,h,h,disruptive,neutral,n,y,n,n,,Michael Lopez
Isaac Harris,4th,M,m,h,cooperative,high,n,y,n,n,,
Charles Cruz,4th,M,h,l,cooperative,neutral,n,n,n,n,,
Benjamin Parker,4th,M,h,l,disruptive,low,n,y,y,n,,Sophia Young
Ava Taylor,4th,F,m,m,cooperative,high,n,n,n,n,Benjamin Parker,
Michael Johnson,4th,M,h,m,cooperative,high,y,n,n,n,Lincoln Ramos,
Lincoln Flores,4th,M,m,l,cooperative,neutral,n,n,n,n,,
Lincoln Ramos,4th,M,m,m,neutral,high,n,n,n,n,,
Leah Wood,4th,F,m,m,neutral,neutral,n,n,n,n,Ava Taylor,
Hannah Cook,4th,F,m,l,cooperative,low,n,n,n,n,,
Paisley Morgan,4th,F,l,l,neutral,neutral,n,n,n,n,,
Logan Roberts,4th,M,l,l,neutral,high,n,n,n,n,Oliver Smith,
Asher Baker,4th,M,l,m,cooperative,neutral,n,n,n,n,,
Oliver Smith,4th,M,h,m,cooperative,neutral,n,n,n,n,,
Ezra Lopez,4th,M,m,h,cooperative,high,n,n,n,n,,
John Wood,4th,M,m,h,cooperative,high,n,n,n,n,,
Anthony Stewart,4th,M,l,l,cooperative,high,n,n,n,n,,
Layla Martinez,4th,F,h,h,cooperative,high,n,n,y,n,,
Gabriel Allen,4th,M,m,l,neutral,neutral,n,n,n,n,,
Luke Morris,4th,M,m,m,cooperative,high,n,y,n,n,,
Sophia Young,4th,F,l,l,disruptive,high,n,n,n,n,,Benjamin Parker
Sophia Turner,4th,F,h,m,cooperative,neutral,n,n,n,n,Charlotte Gonzalez,
Hazel Perez,4th,F,m,m,cooperative,low,n,n,n,n,,
Layla Watson,4th,F,l,m,cooperative,neutral,n,n,n,n,Hazel Perez,
Maya Morgan,4th,F,h,m,cooperative,high,n,n,n,n,,
Thomas Lee,4th,M,l,m,neutral,neutral,n,n,n,n,,
Charlotte Gonzalez,4th,F,m,h,cooperative,high,n,n,y,n,Jackson Edwards,
Jackson Edwards,4th,M,l,l,cooperative,high,n,n,n,n,Lily Gomez,
Maya Kim,4th,F,m,m,cooperative,high,n,n,n,n,,
Lily Gomez,4th,F,m,h,neutral,high,n,n,n,n,,
Scarlett Parker,4th,F,m,h,cooperative,neutral,n,n,n,n,Maya Kim,
Mia Rivera,4th,F,l,m,neutral,high,n,n,n,n,,
Emily Murphy,4th,F,m,m,cooperative,neutral,n,n,n,n,,
Thomas James,4th,M,m,m,cooperative,high,n,n,n,n,,
Thomas Flores,4th,M,m,l,cooperative,low,n,n,n,n,,
Ella Reyes,4th,F,l,h,cooperative,neutral,n,n,n,n,Amelia Flores,
Asher Gutierrez,4th,M,l,m,cooperative,neutral,n,n,n,n,,
Jaxon Miller,4th,M,l,h,cooperative,high,n,n,n,n,,
Daniel Cox,4th,M,m,m,cooperative,neutral,n,y,n,n,,
Amelia Flores,4th,F,h,l,cooperative,neutral,n,n,n,n,,
Zoey Wright,4th,F,l,l,disruptive,high,n,n,n,n,,Brooklyn Ward
Grace Gray,4th,F,l,m,cooperative,high,n,n,n,n,Asher Gutierrez,
Eleanor Hernandez,4th,F,m,l,cooperative,neutral,y,n,n,n,Daniel Cox,
Mason Roberts,4th,M,m,l,neutral,neutral,n,n,n,n,,
Zoey Gray,4th,F,m,m,cooperative,neutral,y,n,n,n,,
Violet Torres,4th,F,m,h,neutral,neutral,n,n,n,n,Mason Roberts,
Brooklyn Ward,4th,F,h,m,disruptive,neutral,n,n,n,n,,Zoey Wright
Ryan Martinez,4th,M,m,l,cooperative,high,n,n,n,n,,
Sophia Rogers,4th,F,l,m,cooperative,high,n,n,y,n,,
Owen Young,4th,M,m,h,neutral,neutral,n,n,n,n,Jacob Nguyen,
Jacob Nguyen,4th,M,l,m,disruptive,neutral,n,n,n,n,,
Alexander Nelson,4th,M,l,h,neutral,high,n,y,n,n,Chloe Wood,
Camila Johnson,4th,F,m,h,cooperative,neutral,n,n,n,n,Jacob Anderson,
Hazel King,4th,F,h,h,disruptive,neutral,n,n,y,n,,
Owen Green,4th,M,h,h,disruptive,neutral,n,n,n,n,,
Chloe Wood,4th,F,m,h,cooperative,low,n,n,n,n,,
Jacob Anderson,4th,M,l,l,cooperative,low,n,n,n,n,Savannah Green,
Hazel Smith,4th,F,m,m,cooperative,neutral,n,n,n,n,,
Riley Hughes,4th,F,m,h,cooperative,neutral,n,n,n,n,,
Lucas Morgan,4th,M,m,l,cooperative,high,n,n,n,n,,
Savannah Green,4th,F,l,m,cooperative,high,n,n,n,n,,
Owen Lee,4th,M,m,l,disruptive,high,n,y,n,n,,
Elizabeth Hughes,4th,F,h,h,cooperative,neutral,n,n,y,n,,
Lucy Miller,4th,F,l,m,cooperative,high,n,n,n,n,Owen Lee,
Christopher Johnson,4th,M,l,m,neutral,neutral,n,y,n,n,,
Aiden Morgan,4th,M,l,m,cooperative,high,n,n,n,n,Owen Lee,
Skylar Rodriguez,4th,F,l,m,neutral,neutral,n,y,n,n,,
Aiden Carter,4th,M,l,m,cooperative,neutral,n,n,n,n,,
Liam Ruiz,4th,M,l,m,cooperative,low,n,n,y,n,,
Nora Wood,4th,F,h,h,cooperative,neutral,n,n,y,n,,
Violet Lee,4th,F,l,m,neutral,low,y,n,n,n,,
Logan Carter,4th,M,m,m,neutral,neutral,n,n,n,n,,
Mia Richardson,4th,F,m,h,neutral,high,n,n,n,n,Nora Wood,
Henry Rodriguez,4th,M,h,h,cooperative,low,y,n,n,n,,
Brooklyn Johnson,4th,F,m,m,cooperative,high,n,n,n,n,,
Lucy Davis,4th,F,l,m,cooperative,neutral,n,n,n,n,,
Zoey Turner,4th,F,m,h,cooperative,low,n,n,n,n,,
Benjamin Williams,4th,M,l,l,neutral,high,n,n,y,n,,
Grace Sanchez,4th,F,h,m,neutral,low,n,n,n,n,Sebastian Wood,
Wyatt Parker,4th,M,h,l,cooperative,low,n,n,n,n,,
Sebastian Wood,4th,M,l,h,cooperative,neutral,n,n,n,n,,
Riley Nelson,4th,F,h,l,neutral,low,n,n,y,n,Sophia Hall,
Benjamin Murphy,4th,M,l,h,cooperative,neutral,n,n,n,n,,
Eleanor Turner,4th,F,l,l,neutral,neutral,n,y,n,n,,
Sophia Hall,4th,F,h,m,disruptive,neutral,n,y,n,n,Carter Murphy,Carter Murphy
Penelope Lewis,4th,F,m,m,cooperative,neutral,n,n,n,n,Riley Nelson,
Carter Murphy,4th,M,l,m,disruptive,high,n,n,n,n,,Sophia Hall
Luna Chavez,4th,F,m,m,neutral,high,n,n,n,n,,
Dylan Miller,4th,M,m,l,cooperative,neutral,y,n,n,n,,
Ethan Thompson,4th,M,m,h,neutral,low,n,n,n,n,,
Wyatt Martinez,4th,M,l,h,neutral,neutral,y,n,n,n,,
Grace Nelson,5th,F,l,m,cooperative,low,n,n,n,n,,
Daniel Smith,5th,M,m,m,disruptive,high,n,n,n,n,,
Lincoln Mitchell,5th,M,m,m,neutral,neutral,n,n,n,n,,
Oliver Rodriguez,5th,M,l,m,cooperative,neutral,n,y,n,n,,
Nora Gomez,5th,F,h,l,neutral,neutral,n,n,n,n,,
Amelia Evans,5th,F,m,m,cooperative,neutral,n,n,n,n,Savannah Edwards,
Savannah Edwards,5th,F,l,m,neutral,neutral,n,n,y,n,Riley Miller,
Ava Davis,5th,F,h,l,cooperative,low,n,n,n,n,,
Chloe Nelson,5th,F,m,m,neutral,neutral,n,n,n,n,Aaliyah Brooks,
Riley Miller,5th,F,l,l,neutral,high,n,n,n,n,,
Aaliyah Brooks,5th,F,m,l,cooperative,neutral,n,n,n,n,,
Carter Hernandez,5th,M,h,m,cooperative,neutral,n,n,n,n,,
Grayson Brooks,5th,M,l,m,disruptive,low,n,n,n,n,,
Lucas Watson,5th,M,m,m,cooperative,low,y,n,y,n,Chloe Nelson,
Jackson Stewart,5th,M,h,l,neutral,neutral,n,n,n,n,,
Sebastian Campbell,5th,M,m,l,cooperative,neutral,n,n,n,n,,
Ava Kelly,5th,F,m,m,cooperative,neutral,n,n,n,n,,
Lucy Moore,5th,F,h,m,neutral,high,n,n,n,n,,
Bella Lopez,5th,F,l,l,disruptive,high,n,n,n,n,Sebastian Campbell,
Dylan Robinson,5th,M,l,m,cooperative,neutral,y,n,n,n,,
Lincoln Stewart,5th,M,h,m,neutral,neutral,n,n,n,n,,
Benjamin Roberts,5th,M,m,h,cooperative,neutral,n,n,y,n,,
Thomas Lewis,5th,M,l,l,cooperative,neutral,n,n,n,n,Lincoln Stewart,
Aiden Ramirez,5th,M,m,l,neutral,neutral,y,n,n,n,,
Elijah Chavez,5th,M,m,l,cooperative,low,n,n,n,n,,
Bella Carter,5th,F,m,m,cooperative,neutral,n,n,n,n,,
Skylar Morgan,5th,F,m,l,disruptive,high,n,n,n,n,Isaac Lewis,
David Harris,5th,M,l,h,cooperative,low,n,n,n,n,Bella Carter,
Luke Richardson,5th,M,l,m,disruptive,high,n,n,y,n,,
Isaac Lewis,5th,M,m,m,disruptive,high,y,y,n,n,,
Aiden Morales,5th,M,m,m,neutral,neutral,n,n,n,n,,
Emily Flores,5th,F,h,l,neutral,neutral,n,n,n,n,Isaac Lewis,
Grace Morgan,5th,F,h,m,cooperative,neutral,n,n,n,n,,
Julian Hall,5th,M,m,h,cooperative,high,n,n,n,n,,
Ava Williams,5th,F,h,m,cooperative,high,n,n,y,n,Emily Flores,
Stella Reed,5th,F,h,m,disruptive,neutral,n,n,y,n,,
Aaliyah Garcia,5th,F,m,l,cooperative,low,n,n,n,n,,
Evelyn Gonzalez,5th,F,l,l,cooperative,low,n,n,n,n,Nora James,
Owen Scott,5th,M,h,h,neutral,neutral,n,n,n,n,,
Brooklyn Adams,5th,F,l,l,cooperative,high,n,n,n,n,Aaliyah Garcia,
Nora James,5th,F,l,m,neutral,neutral,n,n,n,n,,
Eleanor Ortiz,5th,F,l,m,cooperative,high,n,n,n,n,,
Lucy Mitchell,5th,F,m,m,cooperative,neutral,n,n,n,n,Aaliyah Gutierrez,
Charlotte Allen,5th,F,m,m,cooperative,low,n,n,n,n,,
Elijah Brooks,5th,M,m,h,neutral,neutral,n,n,y,n,,
Layla Williams,5th,F,m,l,cooperative,neutral,n,n,n,n,,
Aaliyah Gutierrez,5th,F,m,h,cooperative,neutral,y,n,n,n,,
Isaac Williams,5th,M,l,h,neutral,neutral,n,n,y,n,,
Joseph Johnson,5th,M,l,l,neutral,neutral,n,n,n,n,Oliver Howard,
Alexander Bennett,5th,M,m,l,cooperative,neutral,y,n,n,n,,
Joseph Reyes,5th,M,l,l,cooperative,neutral,n,n,n,n,,
Bella Brown,5th,F,m,h,neutral,high,n,n,n,n,Oliver Howard,
Scarlett Walker,5th,F,m,m,cooperative,neutral,y,n,n,n,,
Oliver Howard,5th,M,l,m,cooperative,neutral,y,n,n,n,,
John Gray,5th,M,h,m,disruptive,neutral,n,n,n,n,,
Lucy Adams,5th,F,m,l,cooperative,neutral,n,n,y,n,,
Lily Robinson,5th,F,m,m,neutral,neutral,n,n,n,n,,
Lily Moore,5th,F,m,m,neutral,neutral,n,y,n,n,Scarlett Walker,
Julian Howard,5th,M,h,h,cooperative,neutral,n,n,y,n,Jaxon Hernandez,
Jaxon Hernandez,5th,M,m,h,cooperative,high,n,n,n,n,John Gray,
Logan Gray,5th,M,m,l,cooperative,neutral,y,n,n,n,Jaxon Hernandez,
Mateo Thompson,5th,M,h,m,cooperative,neutral,n,n,y,n,,
Olivia Cox,5th,F,m,h,cooperative,neutral,n,n,n,n,,
Chloe Lopez,5th,F,l,h,neutral,neutral,n,n,n,n,Nathan Brooks,
Chloe Thompson,5th,F,m,l,cooperative,high,n,n,n,n,Layla James,
Nathan Brooks,5th,M,m,h,cooperative,neutral,n,n,n,n,,
Penelope Miller,5th,F,l,l,cooperative,neutral,n,n,y,n,Nathan Brooks,
Layla James,5th,F,m,m,disruptive,neutral,n,n,n,n,,Gabriel Watson
Benjamin Clark,5th,M,m,m,neutral,high,n,n,n,n,Christopher Evans,
Alexander Carter,5th,M,l,l,cooperative,neutral,n,n,n,n,Olivia Richardson,
Sebastian Wilson,5th,M,l,m,neutral,neutral,n,y,y,n,Nathan Nelson,
Christopher Evans,5th,M,h,m,neutral,low,n,n,n,n,,
Ellie Rodriguez,5th,F,m,m,cooperative,neutral,n,n,n,n,,
Gabriel Watson,5th,M,m,m,disruptive,neutral,n,n,y,n,,Layla James
Olivia Richardson,5th,F,m,m,cooperative,neutral,y,n,n,n,,
Nathan Nelson,5th,M,m,h,cooperative,neutral,y,n,n,n,,
Aaliyah Stewart,5th,F,m,m,cooperative,neutral,n,n,n,n,Aaliyah Cook,
Daniel Bennett,5th,M,l,m,cooperative,neutral,n,y,n,n,Aaliyah Cook,
Lucy Clark,5th,F,h,m,neutral,neutral,n,n,n,n,,
Aaliyah Cook,5th,F,h,h,cooperative,neutral,n,n,n,n,,
Matthew Ward,5th,M,m,m,neutral,neutral,n,n,y,n,,
Jack Taylor,5th,M,l,h,cooperative,neutral,n,n,n,n,,
Samuel Brown,5th,M,h,m,cooperative,neutral,n,n,n,n,,
Zoey Ruiz,5th,F,m,m,neutral,low,n,n,y,n,Aaliyah Cook,
Brooklyn Thompson,5th,F,m,m,neutral,neutral,n,n,n,n,Samuel Brown,
Jack Clark,5th,M,h,h,cooperative,neutral,n,n,n,n,,
Caleb Baker,5th,M,m,h,cooperative,neutral,n,n,n,n,,
Levi Flores,5th,M,h,m,cooperative,high,n,y,n,n,,
Ellie Rivera,5th,F,m,l,cooperative,high,n,n,n,n,Caleb Baker,
Owen Martinez,5th,M,m,h,neutral,neutral,n,n,n,n,,
